	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc9	515rcbc35	515rcbc18	515rcbc15	515rcbc26	515rcbc25	515rcbc32	515rcbc8	515rcbc16	515rcbc36	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc10	515rcbc14	515rcbc19	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13
515rcbc12	0.0	0.00369456013167	0.00175911699578	0.00215208475445	0.00244164783821	0.00313792936559	0.0033835215191	0.00332569303501	0.00314815483799	0.00237135680006	0.00346683624865	0.00263429318869	0.003019992186	0.00171512919429	0.00296025169363	0.00442156241668	0.00269958119763	0.00262976764288	0.00332162284253	0.00254125488796	0.00286298765502	0.0025861332812	0.00243685402701	0.00294009526401	0.00163921984201	0.00242161255888	0.00255157396537	0.00317988295884	0.0031192780855
515rcbc23	0.00369456013167	0.0	0.00218836775229	0.00205284352943	0.00171644796503	0.00183238944071	0.00210905320496	0.00214050032608	0.00134657293511	0.0021187939427	0.00224087018642	0.000726013500096	0.00264253819712	0.00161250808153	0.00107207583737	0.0030756879295	0.00236946228358	0.0024908722127	0.00163444530826	0.00228690026076	0.00151364237081	0.00243767766758	0.00165580926651	0.00255767159993	0.00276578654549	0.0027561651666	0.00209441723811	0.00165304797471	0.00121219343083
515rcbc30	0.00175911699578	0.00218836775229	0.0	0.00190130420639	0.00191629853934	0.0019665185275	0.00222173593244	0.00280831283488	0.00126769709267	0.00137250495409	0.00214764680892	0.00205725491589	0.00221995384579	0.00178001726766	0.00183139234772	0.00153267561968	0.00304918676358	0.00109901250009	0.00278182366027	0.00122575804405	0.00248099017283	0.00163365910007	0.00205175881753	0.00206476194812	0.00216717720628	0.00146912870851	0.0022260335204	0.00125380551389	0.0017491387565
515rcbc29	0.00215208475445	0.00205284352943	0.00190130420639	0.0	0.00160553796601	0.00157873270411	0.00180186332989	0.00233966167285	0.0020852478464	0.00242967131318	0.00162161199848	0.000892568108412	0.00170067994232	0.00119250911116	0.00177205429093	0.00254161722446	0.00168646807322	0.00177250045181	0.00250979971006	0.00195476097159	0.00244372780446	0.00202226153052	0.00164940402516	0.00171563274489	0.00252496725245	0.00132525110324	0.00164150475139	0.00194496177311	0.00168192868163
515rcbc9	0.00244164783821	0.00171644796503	0.00191629853934	0.00160553796601	0.0	0.0022592319969	0.00176694783972	0.00283726694473	0.00190313224462	0.00123879138734	0.000994228120793	0.000870690264264	0.00218537357301	0.00115909057402	0.000978848950272	0.00174922428036	0.00230354079273	0.00200615587394	0.0021703366543	0.00207349032398	0.00180250161521	0.00265619494128	0.00102302948571	0.00173580948166	0.00243386125313	0.00174707726404	0.00122310617704	0.00137903006781	0.00167105996094
515rcbc35	0.00313792936559	0.00183238944071	0.0019665185275	0.00157873270411	0.0022592319969	0.0	0.00132516524438	0.0013146591004	0.00276010184932	0.00143447652547	0.00148403142882	0.00165227011717	0.00205326519753	0.00164580912769	0.00212678608468	0.00174416974084	0.00128005650427	0.00298837498538	0.00183546411717	0.00142722942017	0.00247285975371	0.00244416515485	0.00143426386646	0.00130232795379	0.00113469252631	0.0017546580616	0.00213057114488	0.000846166450163	0.00169584639283
515rcbc18	0.0033835215191	0.00210905320496	0.00222173593244	0.00180186332989	0.00176694783972	0.00132516524438	0.0	0.00198061280817	0.00105266986853	0.00211896155946	0.00145379218013	0.00171705985438	0.00264995590587	0.00146259425728	0.00190481837765	0.00245325635294	0.0017209875479	0.00204843244407	0.00184481443942	0.00147436783904	0.00226883926834	0.00268550767534	0.00255721320698	0.00209146478122	0.00248666384902	0.00195173638376	0.00272077372441	0.00234768313894	0.00204723445035
515rcbc15	0.00332569303501	0.00214050032608	0.00280831283488	0.00233966167285	0.00283726694473	0.0013146591004	0.00198061280817	0.0	0.00235531119237	0.00116770072611	0.0019495211727	0.00190935164227	0.0031982856495	0.00137111072117	0.00227447506822	0.00255428489448	0.00265516769028	0.00259143672333	0.00301833079036	0.0019591111222	0.00336553975047	0.00307810004853	0.00155472819862	0.00222250755496	0.00162421700719	0.00207658523106	0.0023323367632	0.00149013104746	0.00127680829667
515rcbc26	0.00314815483799	0.00134657293511	0.00126769709267	0.0020852478464	0.00190313224462	0.00276010184932	0.00105266986853	0.00235531119237	0.0	0.000871408305833	0.00144518445992	0.00118441764107	0.00170837304637	0.00158049349476	0.00218876833844	0.00159390223677	0.00248618692369	0.00149028144875	0.00256246717323	0.00158906850397	0.00186602738282	0.00265129111601	0.0021999270653	0.00132834285921	0.00171651526484	0.00162332930187	0.00181972528153	0.000654544364774	0.00203887139756
515rcbc25	0.00237135680006	0.0021187939427	0.00137250495409	0.00242967131318	0.00123879138734	0.00143447652547	0.00211896155946	0.00116770072611	0.000871408305833	0.0	0.00240423095937	0.000945749604848	0.00463609327397	0.00185779833421	0.00302614873652	0.00164745782142	0.00225593508642	0.00112734113027	0.00252094233142	0.00191383954491	0.0022629752123	0.00254062676408	0.00185174599369	0.00296815958827	0.00136190272206	0.0013654628135	0.00173758969962	0.00196385213648	0.00148402629971
