	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc9	515rcbc35	515rcbc18	515rcbc15	515rcbc26	515rcbc25	515rcbc32	515rcbc8	515rcbc16	515rcbc36	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc10	515rcbc14	515rcbc19	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13
515rcbc12	0.0	0.459045847863	0.546329625426	0.490083878986	0.480617628982	0.532638968032	0.496683209238	0.487263905108	0.547599831441	0.595226598409	0.547849859233	0.535008160437	0.516665979441	0.525680088624	0.505343409826	0.473967763237	0.465702322074	0.48141287436	0.480038519808	0.502069462977	0.463143768174	0.477579185877	0.440503481503	0.501550291371	0.513752768812	0.474053571836	0.47302436078	0.457483511164	0.458952322119
515rcbc23	0.459045847863	0.0	0.482432487304	0.419695773288	0.382957496351	0.473395365631	0.447024680756	0.467454820936	0.518862086064	0.552441187315	0.466737515528	0.444557468779	0.435114612037	0.491066772133	0.457495327658	0.441626561148	0.435447901169	0.452208746757	0.493136484651	0.441640157626	0.425624341656	0.408948810842	0.399288529037	0.413358179549	0.474955675603	0.390500439584	0.422578465834	0.3974463058	0.440883277153
515rcbc30	0.546329625426	0.482432487304	0.0	0.473967898515	0.454694394608	0.463980682645	0.456261309738	0.495559099196	0.491468917792	0.617962523857	0.546606022725	0.541757247735	0.527322829427	0.577777389631	0.539783675179	0.510113839395	0.456825924333	0.476654439164	0.524351428585	0.488943654841	0.492336079709	0.499385210265	0.482995298367	0.523821059442	0.47869711435	0.465219046819	0.510984262783	0.477678344496	0.496825834721
515rcbc29	0.490083878986	0.419695773288	0.473967898515	0.0	0.41811365032	0.465608179582	0.423569003545	0.449233764654	0.477657175185	0.549306038482	0.488636254725	0.488753119953	0.465545736786	0.527157512437	0.472986394431	0.431671928154	0.414986115155	0.433362399273	0.472592068533	0.442135174334	0.421631909077	0.429162701183	0.419083439011	0.452858941706	0.431085418579	0.413154436693	0.417591094873	0.409328952894	0.437771655333
515rcbc9	0.480617628982	0.382957496351	0.454694394608	0.41811365032	0.0	0.454770450168	0.433858419851	0.467994397902	0.507646597756	0.563995493609	0.481409157408	0.457917385755	0.447740579656	0.509369920697	0.456039903509	0.459065760491	0.417410285295	0.444175988786	0.491378116612	0.43339346237	0.434486497785	0.421403313575	0.416154769213	0.433293007619	0.46655054748	0.397780065281	0.438458110608	0.410105316284	0.437176814478
515rcbc35	0.532638968032	0.473395365631	0.463980682645	0.465608179582	0.454770450168	0.0	0.456138535065	0.494293630521	0.478925845162	0.616522417526	0.543634732087	0.535625018565	0.522060882985	0.565267228981	0.52589768118	0.504762752709	0.454004642573	0.476838570969	0.508550816355	0.475065496686	0.487539368126	0.494426854675	0.464144968644	0.522650254359	0.468775325315	0.453477486718	0.506286078395	0.465622962583	0.478687735392
515rcbc18	0.496683209238	0.447024680756	0.456261309738	0.423569003545	0.433858419851	0.456138535065	0.0	0.405051118581	0.41194856648	0.594235729271	0.525309564085	0.526478097163	0.510776299406	0.566124937537	0.515275917273	0.420133837506	0.399655151299	0.373787285697	0.418170484686	0.453309890769	0.409384141993	0.464542464273	0.408957513032	0.501897689286	0.383635567618	0.426831008161	0.439872018029	0.416772028728	0.403688932899
515rcbc15	0.487263905108	0.467454820936	0.495559099196	0.449233764654	0.467994397902	0.494293630521	0.405051118581	0.0	0.445335879205	0.584068079908	0.530900796128	0.538656504993	0.521226250996	0.554367916666	0.514683802838	0.390370438467	0.419708421867	0.395138202223	0.413324612029	0.483205707213	0.402328712595	0.473830063538	0.413808592111	0.506117221077	0.422829963903	0.451853582706	0.440613128711	0.437841635879	0.395910570841
515rcbc26	0.547599831441	0.518862086064	0.491468917792	0.477657175185	0.507646597756	0.478925845162	0.41194856648	0.445335879205	0.0	0.621854975403	0.574859883096	0.587169632841	0.560495957975	0.603151713624	0.56643333989	0.471789740984	0.450528967098	0.441828713795	0.45179547866	0.49849508613	0.467530748617	0.52724959523	0.471372362356	0.564219002172	0.416831025686	0.504426012426	0.503157620586	0.478811447118	0.453021910502
515rcbc25	0.595226598409	0.552441187315	0.617962523857	0.549306038482	0.563995493609	0.616522417526	0.594235729271	0.584068079908	0.621854975403	0.0	0.462522851162	0.499864978925	0.490857260381	0.563663753097	0.519362474827	0.541390877811	0.581702161643	0.584114491465	0.59327434909	0.554520379259	0.547132734073	0.535437313477	0.579640506512	0.516202983182	0.590971457357	0.568525566472	0.528144283341	0.551037858544	0.571202314278
