	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc9	515rcbc35	515rcbc18	515rcbc15	515rcbc26	515rcbc25	515rcbc32	515rcbc8	515rcbc16	515rcbc36	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc10	515rcbc14	515rcbc19	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13
515rcbc12	0.0	0.459355308656	0.54638918071	0.488351530379	0.480557795545	0.53321898835	0.496351567492	0.486583486429	0.54634868284	0.594766726469	0.548282787762	0.534976784422	0.517532812918	0.525027793435	0.506296739658	0.471583589428	0.466863764152	0.481987351438	0.480741495225	0.501226937247	0.464404474902	0.477704665232	0.441689950145	0.499742164813	0.513125104996	0.473503558038	0.474531037265	0.457949035121	0.459922913573
515rcbc23	0.459355308656	0.0	0.482238273025	0.419735901801	0.383937557634	0.472294104783	0.446112874238	0.466487685529	0.519419381682	0.552243130237	0.467522911645	0.445335719694	0.43381422607	0.491331065727	0.457507498151	0.442091233831	0.434529917422	0.451401900028	0.494179122139	0.44072365508	0.42450420137	0.408928710688	0.400152775567	0.41221997901	0.474559929736	0.391146958668	0.424079899021	0.396587752679	0.439780947391
515rcbc30	0.54638918071	0.482238273025	0.0	0.473313182126	0.455237898192	0.463355325122	0.456884230532	0.498574193145	0.491202757858	0.617536587166	0.546577753046	0.540913749979	0.528456051468	0.578151972585	0.540434219775	0.508715153967	0.456406039776	0.476805581819	0.524719849408	0.489088935753	0.492412772229	0.499687159647	0.483509498293	0.523828834351	0.478795141066	0.463761456579	0.510543929217	0.477347442853	0.496971888148
515rcbc29	0.488351530379	0.419735901801	0.473313182126	0.0	0.418099314787	0.466461968579	0.422907851472	0.45159978274	0.478730871216	0.547733694302	0.489195045983	0.488501553014	0.465557297709	0.526090438981	0.472311101745	0.433013777904	0.414596160654	0.434174514738	0.47073105037	0.443929330889	0.420970815681	0.4290320016	0.420907780991	0.45386742843	0.430535294816	0.41164141706	0.415588859612	0.406032100124	0.438375837553
515rcbc9	0.480557795545	0.383937557634	0.455237898192	0.418099314787	0.0	0.454023898933	0.433916330051	0.469117157925	0.506116441633	0.563816046466	0.482074831682	0.457904719032	0.447440374436	0.509187364438	0.455472000758	0.458248625546	0.419031758215	0.445207844016	0.49023316885	0.432732124516	0.43417325167	0.421926707189	0.416525945804	0.430607507205	0.467121213286	0.396579841491	0.437896251296	0.411435263813	0.437396507231
515rcbc35	0.53321898835	0.472294104783	0.463355325122	0.466461968579	0.454023898933	0.0	0.456175785146	0.495275681654	0.477977304296	0.617138020817	0.544283632363	0.535458149836	0.522284415597	0.566110314573	0.52541139621	0.50329932448	0.452728836036	0.47623820466	0.508833041172	0.475628007725	0.489960540616	0.492719371102	0.462905915729	0.523019406546	0.467184657006	0.452787310785	0.507221646072	0.466761402182	0.480409469862
515rcbc18	0.496351567492	0.446112874238	0.456884230532	0.422907851472	0.433916330051	0.456175785146	0.0	0.405740770701	0.413450357492	0.594039545692	0.524857260717	0.526011880203	0.510583478955	0.56564614549	0.512816272723	0.418463556916	0.398370257776	0.374194564537	0.419118059162	0.452250988908	0.410239152875	0.464511122756	0.41055382714	0.501915441296	0.379995682519	0.426558468306	0.440878433551	0.417400476148	0.402819746807
515rcbc15	0.486583486429	0.466487685529	0.498574193145	0.45159978274	0.469117157925	0.495275681654	0.405740770701	0.0	0.447076684101	0.583392578763	0.531126362455	0.538450125214	0.52086075778	0.553523297425	0.513982395118	0.392480364152	0.421150463379	0.396159565192	0.414201885362	0.481985989701	0.401944985776	0.47464714673	0.414547134575	0.508011792475	0.418854477783	0.452786412659	0.440464891203	0.436424137915	0.394423915085
515rcbc26	0.54634868284	0.519419381682	0.491202757858	0.478730871216	0.506116441633	0.477977304296	0.413450357492	0.447076684101	0.0	0.622781758446	0.573813500368	0.587346186565	0.560876867142	0.602206927115	0.564386043687	0.472913069681	0.451141237606	0.443544743631	0.452616398398	0.498978134134	0.467798555932	0.527300939331	0.471603006867	0.562349084263	0.416018851032	0.503503909416	0.502548199689	0.479437432602	0.451564760028
515rcbc25	0.594766726469	0.552243130237	0.617536587166	0.547733694302	0.563816046466	0.617138020817	0.594039545692	0.583392578763	0.622781758446	0.0	0.46320351539	0.500047301291	0.491462651465	0.563722002458	0.518525577733	0.540994012478	0.581017184102	0.584417011934	0.592555184336	0.554340946289	0.547777167991	0.534156120193	0.579248744747	0.516174781485	0.59064032296	0.568136135226	0.526716436592	0.550726263379	0.571377022829
