	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc9	515rcbc35	515rcbc18	515rcbc15	515rcbc26	515rcbc25	515rcbc32	515rcbc8	515rcbc16	515rcbc36	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc10	515rcbc14	515rcbc19	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13	515rcbc20
515rcbc12	0.0	0.553645518264	0.540750097431	0.489586802397	0.572580865753	0.578201273779	0.53621364161	0.542255238877	0.563866422901	0.63020028597	0.585907748369	0.640325840364	0.52476551035	0.671905662354	0.523227106646	0.497409181713	0.505427876232	0.498430512	0.554670766781	0.516403946608	0.533253109368	0.486886074502	0.554423599021	0.548636442057	0.597838313641	0.565717830294	0.544777259706	0.520351792823	0.589193935256	0.912943437679
515rcbc23	0.553645518264	0.0	0.454549294851	0.397677896254	0.366043167194	0.439110617134	0.413539490059	0.43533525407	0.482818515104	0.50781656002	0.417096834264	0.435527235905	0.408490253191	0.499117462399	0.429289130904	0.427193555017	0.412781158488	0.427922787223	0.465432602495	0.41239863909	0.394522270695	0.384174011364	0.373771348303	0.38251426499	0.449856750127	0.368198467587	0.393234609662	0.374399579816	0.416975715395	0.833525052442
515rcbc30	0.540750097431	0.454549294851	0.0	0.424358249273	0.430431763112	0.428811024994	0.418968058692	0.469634933022	0.445516648685	0.57440530239	0.504622176827	0.536231804301	0.486600322125	0.596610793848	0.489697519062	0.469339336856	0.418953465159	0.427731291949	0.49175903601	0.440953924708	0.455044166923	0.44544156951	0.459082700173	0.482051038187	0.462003651423	0.438484577112	0.476315378295	0.438479638522	0.490481153879	0.863621892172
515rcbc29	0.489586802397	0.397677896254	0.424358249273	0.0	0.417060799935	0.433938240578	0.38368860252	0.427365348697	0.431790458646	0.49847740124	0.43706064631	0.49507881397	0.409701881882	0.565919919183	0.416262571587	0.390254507443	0.379533082917	0.381986879133	0.44770127865	0.396060396814	0.396589079855	0.366391628778	0.41484236608	0.41868085946	0.413096067264	0.396823254318	0.389866217346	0.370594244025	0.43914949089	0.86830927218
515rcbc9	0.572580865753	0.366043167194	0.430431763112	0.417060799935	0.0	0.418677886875	0.405152640001	0.440121675515	0.476839117317	0.522892423526	0.448059720476	0.446036460104	0.428908746152	0.515131135577	0.434238776188	0.458049641565	0.40359562914	0.431944218911	0.459828945554	0.416786325008	0.41228323844	0.405390639329	0.39218746353	0.404539260493	0.444402411184	0.36964160257	0.418334609764	0.389580690261	0.413586535205	0.829813176777
515rcbc35	0.578201273779	0.439110617134	0.428811024994	0.433938240578	0.418677886875	0.0	0.425205820275	0.461609607423	0.442747015878	0.574370153227	0.499880751172	0.520844158938	0.481191626368	0.564051280149	0.485052910769	0.47654661059	0.41926727511	0.448949632445	0.477583977659	0.437170053281	0.457763940901	0.455734070509	0.432613893459	0.485760935819	0.437191690322	0.419557749868	0.480298178444	0.428374864501	0.457517853624	0.840874251873
515rcbc18	0.53621364161	0.413539490059	0.418968058692	0.38368860252	0.405152640001	0.425205820275	0.0	0.373244560027	0.378024865178	0.546926861971	0.479784944873	0.517266872014	0.46914980747	0.578448668216	0.459296715177	0.394228436173	0.366962041263	0.336990684281	0.398524988969	0.40406840561	0.380963601435	0.418667978728	0.384491186593	0.456693501015	0.371600500584	0.404480292296	0.415124907359	0.379377431252	0.388898307127	0.84998498771
515rcbc15	0.542255238877	0.43533525407	0.469634933022	0.427365348697	0.440121675515	0.461609607423	0.373244560027	0.0	0.406694280124	0.535151869131	0.479895470311	0.525717786142	0.479715549102	0.556869072543	0.46464590022	0.363691492628	0.381041839763	0.361889763821	0.381431694523	0.448488231827	0.360084274365	0.429772334366	0.392646421635	0.471650116281	0.405440473076	0.422818302578	0.404547177946	0.399566595867	0.378202384316	0.838143933386
515rcbc26	0.563866422901	0.482818515104	0.445516648685	0.431790458646	0.476839117317	0.442747015878	0.378024865178	0.406694280124	0.0	0.576582556272	0.533638289511	0.570928995088	0.522442222805	0.607134368811	0.511788404064	0.43878531711	0.414236181851	0.396559098832	0.424272699949	0.45448144765	0.432161197054	0.475545533597	0.446504348797	0.521228446371	0.399530555085	0.465176346664	0.473568848571	0.435832884036	0.435643097814	0.851971682902
515rcbc25	0.63020028597	0.50781656002	0.57440530239	0.49847740124	0.522892423526	0.574370153227	0.546926861971	0.535151869131	0.576582556272	0.0	0.411931869925	0.476415251586	0.45761283802	0.556504159047	0.478075206032	0.504204877077	0.537684219448	0.540952454324	0.548718464084	0.514041770341	0.503333634193	0.494225089665	0.537087630234	0.473311931717	0.553088940352	0.530231996444	0.485069120645	0.508824009504	0.532423073119	0.836505592302
