	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc9	515rcbc35	515rcbc18	515rcbc15	515rcbc26	515rcbc25	515rcbc32	515rcbc8	515rcbc16	515rcbc36	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc10	515rcbc14	515rcbc19	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13	515rcbc20
515rcbc12	0.0	0.194749633692	0.358661991731	0.272441184914	0.284716482238	0.362675797271	0.318186209013	0.332515787845	0.369745783858	0.354441448243	0.292418507005	0.293675723374	0.277064612386	0.339100367375	0.253334199556	0.270405914007	0.324609411066	0.326634114115	0.269283207749	0.252291607583	0.269470415362	0.236109809621	0.243105226647	0.244356890113	0.326065765183	0.21863535109	0.330938211172	0.295941098658	0.225970829194	0.240364667101
515rcbc23	0.194749633692	0.0	0.230287585566	0.163711633388	0.147217958726	0.269379649651	0.210318925697	0.255464056557	0.268227131518	0.282912368516	0.221817580311	0.222408388048	0.158847200413	0.396596443683	0.196200014909	0.188348458735	0.211274606527	0.214229342291	0.216016996844	0.170219167764	0.171361102609	0.151377090266	0.179294643272	0.170581095351	0.23250508056	0.147766474338	0.240208710809	0.160780295667	0.176661716338	0.200857442528
515rcbc30	0.358661991731	0.230287585566	0.0	0.181627997009	0.14577050792	0.193920147882	0.144889576196	0.207683612665	0.147256450695	0.326752848597	0.247894064965	0.245504141281	0.23562635728	0.497639748973	0.259910242728	0.22187093493	0.152634628956	0.148527189928	0.233123181339	0.172102385037	0.242466427919	0.219784621999	0.217790802014	0.25153886763	0.154877080569	0.211549287207	0.2360498393	0.179368036616	0.235303691073	0.282620961676
515rcbc29	0.272441184914	0.163711633388	0.181627997009	0.0	0.131682054363	0.221887266847	0.128468467959	0.165573454343	0.199105783287	0.270513450432	0.222385185263	0.213082761423	0.159364188093	0.408345450026	0.192431391039	0.151642598875	0.114883400028	0.151687173108	0.18303644913	0.141133905934	0.164094545166	0.159375619906	0.12637050595	0.173239110377	0.140066888275	0.134641893788	0.16970263449	0.154121976364	0.161717687274	0.199656040012
515rcbc9	0.284716482238	0.147217958726	0.14577050792	0.131682054363	0.0	0.217354768978	0.158620503062	0.218355774426	0.195022336321	0.265308564493	0.206613752716	0.197406917198	0.149561867645	0.436236474956	0.190146571161	0.166681099741	0.15035424237	0.148631900798	0.200504354386	0.141343806352	0.174183601519	0.144253559375	0.1640974061	0.166947228477	0.165236542114	0.138515294134	0.197528621358	0.119992590933	0.178475918266	0.229132119409
515rcbc35	0.362675797271	0.269379649651	0.193920147882	0.221887266847	0.217354768978	0.0	0.183469048092	0.219911589502	0.191580336918	0.361072912342	0.270967722259	0.272354642515	0.275634008187	0.48539992408	0.278772909603	0.26171692861	0.209030772558	0.223219003855	0.246043977678	0.215133164394	0.29335112382	0.248614264976	0.23757356728	0.283307224964	0.186606933733	0.230953553319	0.277180297254	0.24724175679	0.226880274886	0.295079764417
515rcbc18	0.318186209013	0.210318925697	0.144889576196	0.128468467959	0.158620503062	0.183469048092	0.0	0.116115226112	0.124766356729	0.289291951969	0.224806771937	0.231894876927	0.212329217231	0.471691003003	0.226329115013	0.151206500812	0.0973991956938	0.110214086505	0.139904723455	0.14656798498	0.189676992974	0.188685301136	0.151739272353	0.226592817273	0.0808926298013	0.175183000418	0.176644844906	0.155626713091	0.155731356387	0.236320247907
515rcbc15	0.332515787845	0.255464056557	0.207683612665	0.165573454343	0.218355774426	0.219911589502	0.116115226112	0.0	0.189056594558	0.309553787081	0.261243912597	0.258289309364	0.245758347913	0.462548991654	0.247985699104	0.173990868275	0.113848080257	0.151745181141	0.181994715612	0.188291316736	0.22052530176	0.219787395719	0.154259946445	0.244743408213	0.12187430436	0.184742845061	0.198670000139	0.21205440676	0.174655711782	0.235679588356
515rcbc26	0.369745783858	0.268227131518	0.147256450695	0.199105783287	0.195022336321	0.191580336918	0.124766356729	0.189056594558	0.0	0.344477363652	0.277029840041	0.287701713956	0.270623498814	0.522343872534	0.279671131481	0.214477351115	0.163442367959	0.118369040469	0.192241393056	0.204331591401	0.253116433505	0.249515397373	0.217763660304	0.284697805566	0.118407115032	0.241103465525	0.247618866151	0.188703042053	0.20222175959	0.296239436664
515rcbc25	0.354441448243	0.282912368516	0.326752848597	0.270513450432	0.265308564493	0.361072912342	0.289291951969	0.309553787081	0.344477363652	0.0	0.187042484133	0.206668797531	0.195840977114	0.454026820865	0.233698660345	0.213993908857	0.289762484377	0.303352948791	0.277968924993	0.257344314959	0.22606312565	0.247606804451	0.277142220695	0.212110877648	0.305847380964	0.269550140108	0.209004744517	0.233867494956	0.289277581197	0.313323254272
