	sequences per sample	iteration	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc9	515rcbc35	515rcbc18	515rcbc15	515rcbc26	515rcbc25	515rcbc32	515rcbc8	515rcbc16	515rcbc36	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc10	515rcbc14	515rcbc19	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13
alpha_rarefaction_3509_7.txt	3509	7	4664.32142857	2705.69270833	2554.85714286	2852.40789474	2551.95890411	2491.96428571	2700.1659751	2970.11931818	2553.34782609	2509.06701031	2400.08333333	2538.57142857	2931.03	2574.08333333	2587.30541872	2460.94339623	2880.32512315	2808.33333333	2452.46153846	2747.5	2547.38461538	2851.68674699	2562.2184466	2837.83495146	2675.54358974	2719.23144105	2793.87439614	2620.84513274	2469.43147208
alpha_rarefaction_3509_8.txt	3509	8	4567.55932203	2931.14070352	2553.10526316	2865.35483871	2489.4212963	2477.47272727	2548.73417722	2843.08241758	2513.06282723	2199.625	2384.88709677	2904.78037383	2722.77828054	2121.00657895	2646.36619718	2727.890625	3146.0104712	2877.13930348	2515.09278351	2468.87142857	2514.62679426	2982.69196429	2748.22596154	2666.54166667	2443.43718593	2953.50480769	2688.09134615	2747.74725275	2344.03791469
alpha_rarefaction_3509_9.txt	3509	9	4235.4787234	2629.96244131	2709.19565217	2916.02727273	2601.27083333	2551.63125	2780.00454545	2663.22966507	2688.15469613	2178.28078818	2353.21761658	2648.93965517	2748.87142857	2243.9787234	2487.16267943	2563.22222222	2665.70588235	2861.30046948	2502.20689655	2838.81005587	2767.51515152	3095.01408451	2664.265	2479.36073059	2650.91176471	2685.37668161	2775.42926829	2594.83886256	2442.20725389
alpha_rarefaction_7008_0.txt	7008	0	6701.96551724	3590.4057508	3816.66666667	4651.22105263	3471.221843	3288.70212766	3816.8392283	4041.76512456	3666.34375	3117.38602941	2910.22916667	3713.62080537	3696.87820513	2916.4691358	3685.80866426	3509.375	3894.2826087	3734.11180124	3203.04460967	3404.22299652	3542.95962733	3807.87016575	3738.83695652	3836.95016611	3366.7	4005.12974684	3808.52201258	3553.91331269	3401.78787879
alpha_rarefaction_7008_1.txt	7008	1	6755.72459016	3837.22680412	3798.46511628	3708.71720117	3516.94117647	3320.9561753	3603.3	3866.34364261	3523.5979021	3081.76086957	2973.01052632	3842.14497041	3604.30088496	2698.02230483	3766.67003367	3828.21505376	4165.03767123	3539.99053628	3187.53090909	3117.79354839	3584.2006079	3923.36263736	3578.21428571	3740.84313725	3494.53020134	3570.33426184	3651.24458204	3509.35333333	3185.61538462
alpha_rarefaction_7008_2.txt	7008	2	6474.89189189	3560.75570033	3529.47678019	3976.98502994	3573.30769231	3274.37956204	3717.50961538	4155.01079137	3817.10902256	3210.72284644	3059.1875	3463.58045977	3786.39549839	2935.87951807	3609.02491103	3683.76470588	3964.10169492	3729.39215686	3131.93703704	3473.5505618	3699.48039216	4085.07961783	3726.73311897	3445.0733945	3332.78476821	3504.83646113	3520.46246246	3774.13402062	3324.1119403
alpha_rarefaction_7008_3.txt	7008	3	7238.67326733	3520.34343434	3523.99006623	4257.90169492	3329.95238095	3188.80232558	3785.63636364	3627.62897527	3712.37454545	3041.13261649	3114.46332046	3548.32835821	3574.0060423	2662.55681818	3376.45768025	3657.83774834	3984.46843854	3631.58280255	3299.86842105	3045.63076923	3630.33105802	4163.67867868	3257.75482094	3663.13888889	3514.77739726	3615.64516129	3492.50764526	3607.89067524	3205.75179856
alpha_rarefaction_7008_4.txt	7008	4	6395.20560748	3424.40327869	3632.37370242	4188.82802548	3402.85185185	3518.53667954	3760.55625	3714.33105802	3698.91459075	2991.90540541	3174.25968992	3500.80851064	3628.3853211	2894.71052632	3737.40068493	3731.5	3958.4738676	3569.75316456	3202.56737589	3461.98591549	3693.7184466	3927.36263736	3823.11660777	3605.84797297	3513.94366197	3720.32857143	3611.92789969	3515.6554878	2974.79381443
alpha_rarefaction_7008_5.txt	7008	5	7122.28621908	3511.24038462	3571.82269504	3899.38244514	3577.90322581	3327.56976744	3626.25	3947.51535836	3553.26262626	2966.90816327	3137.06640625	3612.51485149	3825.63934426	2921.86122449	3710.52097902	3507.1559322	3963.78233438	3685.38461538	3432.53649635	3622.08333333	3583.28093645	4222.00877193	3532.28767123	3646.4625	3754.60526316	3898.09422492	3615.94904459	3746.48096886	3038.22525597
alpha_rarefaction_7008_6.txt	7008	6	6239.16012085	3461.03040541	3454.63173653	3864.03703704	3316.11214953	3228.00358423	3773.67601246	3714.50657895	3617.68600683	3405.18951613	2840.31372549	3992.65460526	3971.88216561	3169.60944206	3762.65467626	3694.87457627	3705.67823344	3563.46052632	3184.53090909	3425.73809524	3359.39655172	4286.375	3760.45762712	3746.61774744	3514.816609	3821.81914894	3725.234375	3799.59124088	3166.3594306
