	sequences per sample	iteration	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc9	515rcbc35	515rcbc18	515rcbc15	515rcbc26	515rcbc25	515rcbc32	515rcbc8	515rcbc16	515rcbc36	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc10	515rcbc14	515rcbc19	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13
alpha_rarefaction_3509_7.txt	3509	7	33.72876	34.76216	29.18206	34.29487	33.38457	29.55604	33.18534	32.63482	30.61656	25.1013	28.54029	28.34686	30.94059	24.63367	28.62047	31.77919	31.94779	32.75159	32.91565	33.23001	35.04657	33.99866	31.54372	29.98304	32.02377	31.9655	30.89861	34.90292	33.57277
alpha_rarefaction_3509_8.txt	3509	8	34.62804	34.01168	29.9536	32.5174	34.00357	29.325	34.70679	31.03646	30.0159	24.77035	27.25333	29.67847	31.94791	25.12405	29.86228	31.44752	33.25873	32.98081	31.90172	31.81101	34.52995	31.68652	32.77898	31.95089	31.66463	33.00996	31.90314	33.08904	33.2093
alpha_rarefaction_3509_9.txt	3509	9	34.43225	33.78553	30.97124	33.14543	33.116	30.47268	34.44302	31.52618	29.70381	23.63943	28.08906	28.62361	29.81234	23.79573	29.10804	30.8451	32.51804	33.51495	32.47054	32.00539	33.23938	32.82666	33.30324	29.60067	31.80344	33.95414	32.17629	33.54267	32.52824
alpha_rarefaction_7008_0.txt	7008	0	42.88926	39.87276	37.60803	40.00062	39.96628	34.96266	40.44233	37.47742	35.85528	28.30461	33.04619	35.27473	37.56719	29.88768	34.309	38.59906	38.78705	40.643	37.30792	37.69553	40.06425	39.46062	38.16473	34.87138	37.84444	40.35563	39.58308	39.18951	38.08352
alpha_rarefaction_7008_1.txt	7008	1	40.68227	39.62318	35.49122	39.61963	39.51462	33.17863	39.81681	36.90785	36.30717	28.62946	31.65124	36.18059	36.28799	30.15955	35.03452	37.75152	38.76943	39.1674	37.63144	38.27488	40.16522	39.34665	39.49085	35.64402	37.38707	37.48423	38.00588	39.56365	37.76773
alpha_rarefaction_7008_2.txt	7008	2	39.57074	39.37683	37.50587	39.68202	38.01666	37.11663	40.49759	35.6858	35.94321	29.73368	33.23765	35.07367	36.99617	29.48815	34.47112	38.23086	39.71968	40.21107	37.7536	39.08862	40.34634	38.43781	39.64409	37.19953	37.28579	37.93371	37.72214	40.6784	38.14436
alpha_rarefaction_7008_3.txt	7008	3	41.13146	39.96147	35.57912	38.14459	38.58694	36.22773	40.0813	38.3478	36.61227	29.09284	34.05244	34.48189	37.01675	29.22472	34.7905	37.25469	39.49611	38.57449	38.36138	37.98084	38.26448	40.12337	39.63585	36.29435	36.96669	38.50103	36.51115	40.04729	38.96111
alpha_rarefaction_7008_4.txt	7008	4	38.9945	39.31495	36.27096	40.25645	38.25236	36.51302	39.61568	35.92025	36.13203	29.9786	33.91017	35.12248	35.90772	29.33696	34.66382	37.66405	39.28486	39.25919	38.73638	38.76936	39.85312	38.78885	38.93448	35.33351	38.37213	39.20092	38.10197	39.38399	38.32929
alpha_rarefaction_7008_5.txt	7008	5	40.5722	37.87258	35.86718	38.87937	39.92213	35.95945	40.37819	36.14277	35.36104	30.17757	33.15736	36.13349	35.71833	30.36306	34.42977	38.04289	39.83212	38.9613	38.00056	38.67184	38.27609	39.09312	38.43618	36.21594	38.38002	39.33208	37.06159	38.98138	38.26617
alpha_rarefaction_7008_6.txt	7008	6	41.22393	39.64152	38.05939	40.35677	38.22677	33.65444	40.83663	37.98277	35.05857	28.96742	33.58465	36.20423	37.58245	29.70716	35.30432	38.49992	39.81473	39.71154	37.44487	38.24166	39.43818	39.52103	39.66065	36.87812	38.71142	39.13116	37.35957	39.43889	37.56462
alpha_rarefaction_7008_7.txt	7008	7	41.21612	40.03204	36.61231	38.72714	38.90806	34.69208	38.88953	37.51791	36.22379	29.29313	33.34429	35.08872	36.03889	30.58246	34.85766	38.24728	38.98678	39.9745	36.67385	37.43053	39.06406	38.90762	39.38174	37.49699	37.91831	40.15359	37.42367	40.63796	39.03772
